"2021-07-04 23:33:02 [main] INFO  c.g.v.t.TestTaskForSummerWorkshopApplication - Starting TestTaskForSummerWorkshopApplication using Java 11.0.10 on DESKTOP-PDNSAJ5 with PID 6424 (C:\myprojects\test-task-for-summer-workshop\target\classes started by Gladkiy_Kriminal in C:\myprojects\test-task-for-summer-workshop)
""2021-07-04 23:33:02 [main] INFO  c.g.v.t.TestTaskForSummerWorkshopApplication - No active profile set, falling back to default profiles: default
""2021-07-04 23:33:03 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
""2021-07-04 23:33:03 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
""2021-07-04 23:33:03 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.48]
""2021-07-04 23:33:03 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
""2021-07-04 23:33:03 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 984 ms
""2021-07-04 23:33:03 [main] INFO  o.s.b.a.w.s.WelcomePageHandlerMapping - Adding welcome page template: index
""2021-07-04 23:33:03 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
""2021-07-04 23:33:03 [main] INFO  c.g.v.t.TestTaskForSummerWorkshopApplication - Started TestTaskForSummerWorkshopApplication in 1.953 seconds (JVM running for 2.984)
""2021-07-04 23:33:11 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
""2021-07-04 23:33:11 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
""2021-07-04 23:33:11 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
""2021-07-04 23:33:12 [http-nio-8080-exec-1] INFO  c.g.v.t.s.impl.DownloadServiceImpl - File size: 98302 bytes
"
